code_family,outfield
PETETEUSCM,Privilege Escalation > T1546 > Event Triggered Execution: Unix Shell Configuration Modification — Adversaries may establish persistence through executing malicious commands triggered by a user’s shell.
PTETEWMIES,Persistence > T1546 > Event Triggered Execution: Windows Management Instrumentation Event Subscription — Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription.
PETETEWMIES,Privilege Escalation > T1546 > Event Triggered Execution: Windows Management Instrumentation Event Subscription — Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription.
DETEGEK,Defense Evasion > T1480 > Execution Guardrails: Environmental Keying — Adversaries may environmentally key payloads or other features of malware to evade defenses and constraint execution to a specific target environment.
DETEGME,Defense Evasion > T1480 > Execution Guardrails: Mutual Exclusion — Adversaries may constrain execution or actions based on the presence of a mutex associated with malware.
ETEOAPEOAENCP,Exfiltration > T1048 > Exfiltration Over Alternative Protocol: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol — Adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel.
ETEOAPEOSENCP,Exfiltration > T1048 > Exfiltration Over Alternative Protocol: Exfiltration Over Symmetric Encrypted Non-C2 Protocol — Adversaries may steal data by exfiltrating it over a symmetrically encrypted network protocol other than that of the existing command and control channel.
ETEOAPEOUNCP,Exfiltration > T1048 > Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted Non-C2 Protocol — Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel.
ETEOONMEOB,Exfiltration > T1011 > Exfiltration Over Other Network Medium: Exfiltration Over Bluetooth — Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel.
ETEOPMEOU,Exfiltration > T1052 > Exfiltration Over Physical Medium: Exfiltration over USB — Adversaries may attempt to exfiltrate data over a USB connected physical device.
ETEOWSEOW,Exfiltration > T1567 > Exfiltration Over Web Service: Exfiltration Over Webhook — Adversaries may exfiltrate data to a webhook endpoint rather than over their primary command and control channel.
ETEOWSETCS,Exfiltration > T1567 > Exfiltration Over Web Service: Exfiltration to Cloud Storage — Adversaries may exfiltrate data to a cloud storage service rather than over their primary command and control channel.
ETEOWSETCR,Exfiltration > T1567 > Exfiltration Over Web Service: Exfiltration to Code Repository — Adversaries may exfiltrate data to a code repository rather than over their primary command and control channel.
ETEOWSETTSS,Exfiltration > T1567 > Exfiltration Over Web Service: Exfiltration to Text Storage Sites — Adversaries may exfiltrate data to text storage sites instead of their primary command and control channel.
DETFADPMLAMFADPM,Defense Evasion > T1222 > File and Directory Permissions Modification: Linux and Mac File and Directory Permissions Modification — Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.
DETFADPMWFADPM,Defense Evasion > T1222 > File and Directory Permissions Modification: Windows File and Directory Permissions Modification — Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.
CATFWCST,Credential Access > T1606 > Forge Web Credentials: SAML Tokens — An adversary may forge SAML tokens with any permissions claims and lifetimes if they possess a valid SAML token-signing certificate.
CATFWCWC,Credential Access > T1606 > Forge Web Credentials: Web Cookies — Adversaries may forge web cookies that can be used to gain access to web applications or Internet services.
RTGVHICC,Reconnaissance > T1592 > Gather Victim Host Information: Client Configurations — Adversaries may gather information about the victim's client configurations that can be used during targeting.
RTGVHIF,Reconnaissance > T1592 > Gather Victim Host Information: Firmware — Adversaries may gather information about the victim's host firmware that can be used during targeting.
RTGVHIH,Reconnaissance > T1592 > Gather Victim Host Information: Hardware — Adversaries may gather information about the victim's host hardware that can be used during targeting.
RTGVHIS,Reconnaissance > T1592 > Gather Victim Host Information: Software — Adversaries may gather information about the victim's host software that can be used during targeting.
RTGVIIC,Reconnaissance > T1589 > Gather Victim Identity Information: Credentials — Adversaries may gather credentials that can be used during targeting.
RTGVIIEA,Reconnaissance > T1589 > Gather Victim Identity Information: Email Addresses — Adversaries may gather email addresses that can be used during targeting.
RTGVIIEN,Reconnaissance > T1589 > Gather Victim Identity Information: Employee Names — Adversaries may gather employee names that can be used during targeting.
RTGVNID,Reconnaissance > T1590 > Gather Victim Network Information: DNS — Adversaries may gather information about the victim's DNS that can be used during targeting.
RTGVNIDP,Reconnaissance > T1590 > Gather Victim Network Information: Domain Properties — Adversaries may gather information about the victim's network domain(s) that can be used during targeting.
RTGVNIIA,Reconnaissance > T1590 > Gather Victim Network Information: IP Addresses — Adversaries may gather the victim's IP addresses that can be used during targeting.
RTGVNINSA,Reconnaissance > T1590 > Gather Victim Network Information: Network Security Appliances — Adversaries may gather information about the victim's network security appliances that can be used during targeting.
RTGVNINT,Reconnaissance > T1590 > Gather Victim Network Information: Network Topology — Adversaries may gather information about the victim's network topology that can be used during targeting.
RTGVNINTD,Reconnaissance > T1590 > Gather Victim Network Information: Network Trust Dependencies — Adversaries may gather information about the victim's network trust dependencies that can be used during targeting.
RTGVOIBR,Reconnaissance > T1591 > Gather Victim Org Information: Business Relationships — Adversaries may gather information about the victim's business relationships that can be used during targeting.
RTGVOIDPL,Reconnaissance > T1591 > Gather Victim Org Information: Determine Physical Locations — Adversaries may gather the victim's physical location(s) that can be used during targeting.
RTGVOIIBT,Reconnaissance > T1591 > Gather Victim Org Information: Identify Business Tempo — Adversaries may gather information about the victim's business tempo that can be used during targeting.
RTGVOIIR,Reconnaissance > T1591 > Gather Victim Org Information: Identify Roles — Adversaries may gather information about identities and roles within the victim organization that can be used during targeting.
